libdrm 2.4.91-3
libedit 20170329_3.1-1
libelf 0.170-1
libepoxy 1.5.1-1
libev 4.24-1
libevdev 1.5.9-1
libevent 2.1.8-1
libexif 0.6.21-3
libffi 3.2.1-2
libfontenc 1.1.3-1
libgcrypt 1.8.2-1
libgexiv2 0.10.8-1
libglvnd 1.0.0-1
libgpg-error 1.29-1
libgudev 232-1
libgusb 0.2.11-1
libibus 1.5.18-1
libice 1.0.9-2
libid3tag 0.15.1b-8
libidn 1.34-2
libidn2 2.0.4-2
libiec61883 1.2.0-4
libimobiledevice 1.2.0+66+g5a85432-1
libinput 1.10.6-1
libjpeg-turbo 1.5.3-1
libksba 1.3.5-1
libldap 2.4.46-1
liblouis 3.5.0-1
liblqr 0.4.2-1
libmagick 7.0.7.28-1
libmbim 1.16.0-1
libmm-glib 1.8rc2+1+g7e949283-1
libmnl 1.0.4-1
libmodplug 0.8.9.0-1
libmpc 1.1.0-1
libnautilus-extension 3.28.1-1
libndp 1.6-1
libnewt 0.52.20-1
libnftnl 1.0.9-1
libnghttp2 1.31.1-1
libnl 3.4.0-1
libnm 1.10.6-3
libnm-glib 1.10.6-3
libnotify 0.7.7-1
libnsl 1.2.0-1
libogg 1.3.3-2
libomxil-bellagio 0.9.3-1
libpaper 1.1.24-10
libpcap 1.8.1-2
libpciaccess 0.14-1
libpgm 5.2.122-2
libpipeline 1.5.0-1
libplist 2.0.0+11+gec9ba8b-1
libpng 1.6.34-2
libproxy 0.4.15-6
libpsl 0.20.1-2
libpulse 11.1-1
libqmi 1.20.0-1
libraqm 0.5.0-1
libraw1394 2.1.2-1
librsvg 2:2.42.3-1
libsamplerate 0.1.9-1
libsasl 2.1.26-12
libseccomp 2.3.2-2
libsecret 0.18.6-1
libsm 1.2.2-2
libsndfile 1.0.28-1
libsodium 1.0.16-1
libsoup 2.62.1-1
libsoxr 0.1.3-1
libssh 0.7.5-2
libssh2 1.8.0-2
libstemmer 0+337-2
libsystemd 238.76-1
libtasn1 4.13-1
libteam 1.27-1
libthai 0.1.27-1
libtheora 1.1.1-4
libtiff 4.0.9-1
libtirpc 1.0.3-1
libtool 2.4.6+40+g6ca5e224-5
libunistring 0.9.9-1
libunwind 1.2.1-1
libusb 1.0.22-1
libusbmuxd 1.0.10+13+gc724e70-1
libutil-linux 2.32-3
libuv 1.20.2-1
libva 2.1.0-1
libva-intel-driver 2.1.0-1
libvdpau 1.1.1+3+ga21bf7a-1
libvorbis 1.3.6-1
libvpx 1.7.0-1
libwacom 0.29-1
libwbclient 4.8.1-1
libwebp 1.0.0-1
libx11 1.6.5-1
libx264 2:152.20171224-1
libxau 1.0.8-3
libxcb 1.13-1
libxcomposite 0.4.4-2
libxcursor 1.1.15-1
libxdamage 1.1.4-3
libxdg-basedir 1.2.0-3
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfixes 5.0.3-2
libxfont2 2.0.3-1
libxft 2.3.2-1
libxi 1.7.9-1
libxinerama 1.1.3-2
libxkbcommon 0.8.0-1
libxkbcommon-x11 0.8.0-1
libxkbfile 1.0.9-1
libxml2 2.9.8-2
libxmu 1.1.2-1
libxrandr 1.5.1-2
libxrender 0.9.10-1
libxshmfence 1.3-1
libxslt 1.1.32+3+g32c88216-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
licenses 20171006-1
linux 4.16.6-1
linux-api-headers 4.16.1-1
linux-firmware 20180416.b562d2f-1
linux-lts 4.14.39-1
linux-lts-headers 4.14.39-1
llvm-libs 6.0.0-4
lm_sensors 3.4.0-2
logrotate 3.14.0-1
lvm2 2.02.177-5
lxappearance 0.6.3-1
lz4 1:1.8.1.2-1
lzo 2.10-1
m4 1.4.18-1
mailcap 2.1.48+14+g5811758-1
make 4.2.1-2
man-db 2.8.3-1
man-pages 4.16-1
materia-theme 20180321-1
mdadm 4.0-1
mesa 18.0.2-1
minizip 1:1.2.11-2
mkinitcpio 24-2
mkinitcpio-busybox 1.28.3-1
mlocate 0.26-6
modemmanager 1.8rc2+1+g7e949283-1
mozilla-common 1.4-4
mpfr 4.0.1-1
mtdev 1.1.5-1
nano 2.9.6-1
nautilus 3.28.1-1
nautilus-sendto 3.8.6+13+gff9b88f-1
ncurses 6.1-3
neofetch 3.4.0-2
net-snmp 5.7.3-8
net-tools 1.60.20180212git-1
netctl 1.16-1
nettle 3.4-1
networkmanager 1.10.6-3
nfs-utils 2.3.1-1
nfsidmap 2.3.1-1
nilfs-utils 2.2.7-1
node-gyp 3.6.2-1
nodejs 10.0.0-1
npm 6.0.0-1
npth 1.5-1
nspr 4.19-1
nss 3.36.1-1
ntfs-3g 2017.3.23-1
opencore-amr 0.1.5-1
openjpeg2 2.3.0-1
openresolv 3.9.0-1
openssh 7.7p1-1
openssl 1.1.0.h-1
openssl-1.0 1.0.2.o-1
opus 1.2.1-1
orc 0.4.28-1
os-prober 1.76-1
p11-kit 0.23.10-1
package-query 1.9.r380-2
pacman 5.0.2-3
pacman-mirrorlist 20180415-1
pam 1.3.0-2
pambase 20171006-1
pango 1.42.1-1
paper-gtk-theme-git 302.770aba4-1
paper-icon-theme-git 781.d2476a62-1
parted 3.2-6
patch 2.7.6-1
pciutils 3.5.6-1
pcmciautils 018-7
pcre 8.42-1
pcre2 10.31-1
perl 5.26.2-1
perl-clone 0.39-4
perl-dbi 1.641-1
perl-error 0.17025-2
perl-mailtools 2.20-1
perl-timedate 2.30-4
perl-xml-libxml 2.0132-1
perl-xml-namespacesupport 1.12-2
perl-xml-sax 1.00-1
perl-xml-sax-base 1.09-2
pinentry 1.1.0-2
pixman 0.34.0-1
pkg-config 0.29.2-1
pkgfile 17-1
polkit 0.114-1
polybar 3.1.0-4
poppler 0.64.0-1
popt 1.16-9
ppp 2.4.7-4
procps-ng 3.3.14-1
psmisc 23.1-1
pulseaudio 11.1-1
pygobject-devel 3.28.2-1
pyqt5-common 5.10.1-2
python 3.6.5-2
python-appdirs 1.4.3-1
python-dbus 1.2.6-1
python-dbus-common 1.2.6-1
python-gobject 3.28.2-1
python-packaging 16.8-2
python-pyparsing 2.2.0-1
python-pyqt5 5.10.1-2
python-pywal 2.1.0-1
python-setuptools 1:39.1.0-1
python-sip 4.19.8-1
python-six 1.11.0-1
python-termcolor 1.1.0-5
python2 2.7.15-1
qpdf 8.0.2-1
qt5-base 5.10.1-8
ranger 1.9.1-1
re2 20180401-1
readline 7.0.003-1
redshift 1.11-5
reflector 2018-1
reiserfsprogs 3.6.27-1
rest 0.8.1-1
rhash 1.3.6-1
rofi 1.5.1-1
rpcbind 0.2.4-4
rsync 3.1.3-1
rtkit 0.11+8+ge0a51fe-1
run-parts 4.8.4-1
rxvt-unicode 9.22-6
rxvt-unicode-terminfo 9.22-6
s-nail 14.9.10-1
screenfetch 3.8.0-2
scrot 0.8.17-2
sdl2 2.0.8-8
sed 4.5-1
semver 5.5.0-1
shadow 4.5-4
shared-mime-info 1.9-1
sharutils 4.15.2-2
sip 4.19.8-1
slang 2.3.2-1
snappy 1.1.7-1
sound-theme-freedesktop 0.8-2
speex 1.2.0-1
speexdsp 1.2rc3-2
splix 2.0.0-13
sqlite 3.23.1-1
startup-notification 0.12-5
sudo 1.8.22-1
sysfsutils 2.1.0-9
systemd 238.76-1
systemd-sysvcompat 238.76-1
talloc 2.1.13-1
tar 1.30-1
tcl 8.6.8-3
tdb 1.3.15-1
terminus-font 4.46-1
texinfo 6.5-1
thin-provisioning-tools 0.7.6-1
tracker 2.0.3-2
tslib 1.16-1
ttf-google-fonts-typewolf 17.11.git+2e2caa2-1
tzdata 2018d-1
udisks2 2.7.6-1
unrar 1:5.6.3-1
unzip 6.0-12
upower 0.99.7-1
usb_modeswitch 2.5.2-1
usbmuxd 1.1.0+28+g46bdf3e-1
usbutils 009-1
util-linux 2.32-3
uudeview 0.5.20-13
v4l-utils 1.14.2-1
vi 1:070224-2
vid.stab 1.1-1
visual-studio-code-bin 1.23.0-1
volume_key 0.3.9-5
wayland 1.14.0-1
wayland-protocols 1.13-1
webrtc-audio-processing 0.3-2
wget 1.19.4-3
which 2.21-2
whois 5.3.0-1
wireless-regdb 2017.03.07-1
wireless_tools 30.pre9-1
wpa_actiond 1.4-3
wpa_supplicant 1:2.6-11
x265 2.7-1
xcb-proto 1.13-1
xcb-util 0.4.0-1
xcb-util-cursor 0.1.3-1
xcb-util-image 0.4.0-1
